transaction_id,transactional_date,product_id,customer_id,payment,credit_card,loyalty_card,cost,quantity,price,total_amount,total_cost,net_profit
1,2021-05-04 02:00:00,P0494,4,Visa,4041593010498829,F,17.33,2,18.29,36.58,34.66,1.9200000000000017
2,2021-05-04 03:04:00,P0221,5,Visa,4041596151234556,F,0.59,1,1.49,1.49,0.59,0.9
3,2021-05-04 03:56:00,P0625,5,Visa,4041594885335898,F,5.15,3,5.89,17.669999999999998,15.450000000000001,2.219999999999997
4,2021-05-04 05:20:00,P0431,8,Mastercard,5108753677552345,F,10.67,2,11.59,23.18,21.34,1.8399999999999999
5,2021-05-04 05:45:00,P0058,5,Mastercard,5108752372298261,T,11.38,2,12.39,24.78,22.76,2.0199999999999996
6,2021-05-04 06:58:00,P0385,6,Americanexpress,374288563442549,F,13.22,1,14.69,14.69,13.22,1.4699999999999989
7,2021-05-04 07:03:00,P0575,4,Visa,4041598869758,F,2.81,1,3.99,3.99,2.81,1.1800000000000002
8,2021-05-04 07:45:00,P0187,5,Americanexpress,374283491107967,F,4.17,1,4.89,4.89,4.17,0.7199999999999998
9,2021-05-04 09:58:00,P0074,7,Mastercard,5108753211196286,F,18.11,1,19.79,19.79,18.11,1.6799999999999997
10,2021-05-04 15:51:00,P0456,5,Mastercard,5048370523083285,T,18.35,2,20.19,40.38,36.7,3.6799999999999997
11,2021-05-04 16:13:00,P0519,5,Mastercard,5048379752512880,F,12.45,3,14.09,42.269999999999996,37.349999999999994,4.920000000000002
12,2021-05-04 17:07:00,P0071,12,Visa,4041594984149257,F,13.09,5,14.69,73.45,65.45,8.0
13,2021-05-04 19:57:00,P0550,5,Americanexpress,374288299677079,F,15.35,1,17.09,17.09,15.35,1.7400000000000002
14,2021-05-04 23:06:00,P0507,4,Mastercard,5048376045855902,F,8.17,3,8.89,26.67,24.509999999999998,2.1600000000000037
15,2021-05-05 05:22:00,P0684,6,Visa,4041595178401834,F,6.15,1,7.49,7.49,6.15,1.3399999999999999
16,2021-05-05 05:58:00,P0321,7,Americanexpress,374288461042953,T,17.35,2,18.29,36.58,34.7,1.8799999999999955
17,2021-05-05 07:40:00,P0450,9,Visa,4041590043782,F,3.76,2,4.79,9.58,7.52,2.0600000000000005
18,2021-05-05 07:58:00,P0457,10,Americanexpress,374283070152186,F,2.02,1,2.59,2.59,2.02,0.5699999999999998
19,2021-05-05 09:57:00,P0389,5,Mastercard,5048376876298974,F,5.95,1,7.19,7.19,5.95,1.2400000000000002
20,2021-05-05 10:11:00,P0152,7,Americanexpress,374288062180277,F,16.33,1,17.99,17.99,16.33,1.6600000000000001
21,2021-05-05 14:01:00,P0282,7,Visa,4041594051333727,F,10.86,1,11.59,11.59,10.86,0.7300000000000004
22,2021-05-05 14:31:00,P0480,5,Visa,4041599842820,F,12.02,2,13.49,26.98,24.04,2.9400000000000013
23,2021-05-05 15:00:00,P0634,6,Mastercard,5108752673600884,F,16.47,1,18.09,18.09,16.47,1.620000000000001
24,2021-05-05 19:15:00,P0347,6,Visa,4041598170819,F,5.37,1,6.29,6.29,5.37,0.9199999999999999
25,2021-05-05 19:37:00,P0161,6,Visa,4041596038533642,F,19.42,1,21.29,21.29,19.42,1.8699999999999974
26,2021-05-05 19:58:00,P0455,6,Mastercard,5108757235239089,F,1.63,2,1.79,3.58,3.26,0.3200000000000003
27,2021-05-05 20:09:00,P0622,5,Visa,4041596972700199,F,13.87,1,14.89,14.89,13.87,1.0200000000000014
28,2021-05-06 05:08:00,P0190,3,Mastercard,5048374002788455,F,18.93,2,20.89,41.78,37.86,3.9200000000000017
29,2021-05-06 05:16:00,P0432,7,Mastercard,5108756241400339,F,17.36,1,18.39,18.39,17.36,1.0300000000000011
30,2021-05-06 05:58:00,P0524,4,Americanexpress,374283854417458,T,10.66,2,11.59,23.18,21.32,1.8599999999999994
31,2021-05-06 14:58:00,P0042,5,Visa,4041599935977144,T,19.59,1,21.39,21.39,19.59,1.8000000000000007
32,2021-05-06 16:16:00,P0474,4,Visa,4041594587730164,F,15.66,2,17.49,34.98,31.32,3.6599999999999966
33,2021-05-06 16:43:00,P0500,4,Mastercard,5048371164242156,F,7.53,1,8.29,8.29,7.53,0.7599999999999989
34,2021-05-06 18:41:00,P0517,4,Mastercard,5048377748169427,F,5.11,1,5.79,5.79,5.11,0.6799999999999997
35,2021-05-07 02:32:00,P0413,7,Unknown,6334501394605296134,F,7.35,2,8.19,16.38,14.7,1.6799999999999997
36,2021-05-07 02:59:00,P0497,6,Mastercard,5108759436996020,F,19.75,1,21.39,21.39,19.75,1.6400000000000006
37,2021-05-07 04:36:00,P0560,4,Visa,4041590202339,F,1.4,2,1.69,3.38,2.8,0.5800000000000001
38,2021-05-07 09:44:00,P0249,5,Mastercard,5048373408030116,F,4.12,3,4.89,14.669999999999998,12.36,2.3099999999999987
39,2021-05-07 13:51:00,P0599,2,Visa,4041596275107,T,13.54,2,14.79,29.58,27.08,2.5
